English,German,In a Sentence,Flip,Audio File
feasible,"machbar, durchführbar",It's not feasible to finish the project by Friday.,Stapel 002,
to fidget,"zappeln, herumzappeln",She started to fidget nervously during the meeting.,Stapel 002,
revolting,"ekelhaft, abstoßend (körperlicher / sinnlicher Ekel)",I found the food absolutely revolting. The smell from the bins was revolting.,Stapel 002,
despicable,"abscheulich, verachtenswert. (moralische Verachtung)",He's a despicable coward. That's a despicable thing to say about a colleague.,Stapel 002,
to be relcutant to do something,"widerwillig, zögernd.",He seemed reluctant to admit his mistake. She was reluctant to sign the contract.,Stapel 002,
with great reluctance,nur sehr widerwillig,"The committee, with great reluctance, accepted that the project would have to be cancelled due to lack of funding.",Stapel 002,
endearing,"liebenswert (beschreibt in der Regel eine bestimmte Angewohnheit oder Geste),",She has an endearing habit of talking to herself when she's concentrating.,Stapel 002,
winning,einnehmend,He greeted every customer with a winning smile that made them feel instantly welcome.,Stapel 002,
engaging,"fesselnd, mitreißend",She's an engaging speaker who draws the audience in from the first sentence.,Stapel 002,
subtle,"fein, dezent",White wine with a subtle touch of rose. There was a subtle change in her tone that suggested she wasn't entirely convinced.,Stapel 003,
necessity,"Notwendigkeit (unausweichlich, existenziell)",Eating meat was a necessity in the daily struggle to survive.,Stapel 003,
out of necessity,aus reiner Notwendigkeit,She learned how to cook out of necessity.,Stapel 003,
all and sundry,Hinz und Kunz,He's the kind of person who tells his life story to all and sundry. I don't want all and sundry to know about our problems. The invitation wasn't meant for all and sundry — just close friends and family.,Stapel 003,
to be rumoured to do something,es wird gemunkelt / Gerüchten zufolge,The actress is rumoured to be getting married soon. She is rumoured to be one of the richest people in the country.,Stapel 003,
to put somebody off ,"vertrösten, hinhalten",They kept putting me off day after day.,Stapel 003,
to put somebody off,abschrecken / die Lust nehmen,The smell put me off my food completely.,Stapel 003,
to cow,einschüchtern,The protesters refused to be cowed into submission by the army.,Stapel 003,
to have a cow,"durchdrehen, ausrasten, einen Anfall bekommen (umgangssprachlich)",My mother had a cow when I said I was going to buy a motorbike.,Stapel 003,
to lose it,"durchdrehen, ausrasten, die Fassung verlieren  (umgangssprachlich)",He completely lost it when he found out his flight had been cancelled.,Stapel 003,
to hit the roof,"an die Decke gehen, aus der Haut fahren, ausrasten  (umgangssprachlich)",My dad hit the roof when he saw the dent in the car.,Stapel 003,
to lose one's composure,die Fassung verlieren (formell),"He was known for staying calm under pressure, but even he lost his composure when the results were announced.",Stapel 003,
to dwell on something,"grübeln, bei einem Gedanken verweilen. Mach dir deswegen nicht zu viele Gedanken","I know the interview didn't go perfectly, but don't dwell on it – focus on the next opportunity.",Stapel 003,
to trip,stolpern (kurz),That cable is dangerous. Someone might trip over it.,Stapel safe,
to tumble,"stürzen, purzeln (mehrfach)",To tumble down the stairs,Stapel safe,
to abduct,"entführen, verschleppen",The company director was abducted from his car by terrorists.,Stapel 004,
guards,"Wache, Wachposten",They placed two guards at the entrance to the festival compound because of the high risk of terroristic attacks.,Stapel safe,
to indulge in,sich etwas gönnen,"After weeks of dieting, I finally allowed myself to indulge in a slice of chocolate cake.",Stapel 004,
indulgence,"Nachsicht aber auch Genuss, Luxus. ","All the pleasures and indulgences of the weekend are over, and I must get down to some serious hard work. My inability to do needlework was treated with surprising indulgence by my teacher.",Stapel 004,
indulgent,nachsichtig,The teacher was too indulgent with the students.,Stapel 004,
to gleam,"glänzen, schimmern, strahlen",Her eyes gleamed with joy when she saw the news. The city lights gleamed on the wet pavement.,Stapel 004,
to spur somebody on,"jemanden anspornen, antreiben",I also find working out in a group incredibly motivating; it spurs you on and helps you exceed what you thought you were capable of.,Stapel 004,
